symbol,qty,side,market_value,avg_entry_price,unrealized_pl
AIV,-5202.0,short,-40679.64,7.87,260.1
ARKG,413.0,long,12571.72,27.103123,1378.13
CSX,4.0,long,144.5556,34.7875,5.4056
EXPD,1.0,long,123.52,121.86,1.66
GWW,43.0,long,41133.37,965.544419,-385.04
IBM,37.0,long,10693.0,281.5,277.5
IPGP,522.0,long,45074.7,79.11,3779.28
KLAC,38.0,long,42655.0,1064.835789,2191.24
LUMN,1.0,long,6.79,5.88,0.91
LUV,1.0,long,32.74,32.21,0.53
MEC,-1.0,short,-13.71,13.51,-0.2
MGM,2.0,long,68.24,34.45,-0.66
PTON,2.0,long,17.52,8.81,-0.1
RJF,233.0,long,38869.06,174.65,-1824.39
RSG,3.0,long,672.72,231.39,-21.45
SHW,97.0,long,33620.2,341.14,529.62
URI,10.0,long,9821.9,947.02,351.7
WM,-187.0,short,-41005.36,218.6,-127.16
